"","state","S1","S2","S3","S4","returns","State_Name"
"11001",3,0.951401890369734,2.36612096322679e-05,0.0425517720139383,0.00602267640669558,0.00254704296293173,"Level2"
"11002",3,0.9471033369073,1.75688168912442e-05,0.0461396675194163,0.00673942675639269,-0.00421589922163257,"Level2"
"11003",3,0.918269982105351,1.70193020007198e-05,0.0758371566296995,0.00587584196294918,0.00304112666423428,"Level2"
"11004",3,0.910225735651965,1.72981337076663e-05,0.0833120702005024,0.00644489601382503,-0.00412248338422483,"Level2"
"11005",3,0.87082982230859,1.72268696742618e-05,0.123395274825297,0.00575767599643879,0.00412248338422483,"Level2"
"11006",3,0.920190353544553,4.6082671730421e-05,0.0711667281639419,0.00859683561977469,0.00945658549409867,"Level2"
"11007",3,0.890103179614462,2.30341929286683e-05,0.103936918746,0.00593686744660932,0.00435692222355666,"Level2"
"11008",3,0.827760562681088,1.91015434405495e-05,0.167031215880985,0.00518911989448659,-0.000386520435966986,"Level2"
"11009",3,0.752302011999816,3.06813483001467e-05,0.242858974810571,0.00480833184131226,-0.00145075705385711,"Level2"
"11010",3,0.64586830823755,4.31634013431668e-05,0.349940293008258,0.00414823535284931,0.00318888994985578,"Level2"
"11011",3,0.517488363594052,5.55666509662879e-05,0.479203554181175,0.00325251557380654,-0.00057909672125156,"Level2"
"11012",3,0.579870499805968,0.000141551817396508,0.415431229217779,0.00455671915885644,-0.00580888473789454,"Level2"
"11013",3,0.466629649349103,7.13482877017442e-05,0.530240067406095,0.00305893495709952,0.003876359208137,"Level2"
"11014",3,0.340270113320134,7.94563803909538e-05,0.65747559249306,0.00217483780641536,0.00299385037939004,"Level2"
"11015",3,0.237693116530579,9.57781700947012e-05,0.760677002701939,0.0015341025973874,0.00336949536605857,"Level2"
"11016",3,0.165598577947842,0.000107709915692131,0.833230412170116,0.00106329996634935,-0.00163522375686398,"Level2"
"11017",3,0.101393558335377,0.00010041532558702,0.897872951370315,0.000633074968720293,0,"Level2"
"11018",3,0.070982133350238,0.000130447151998255,0.928423885117159,0.000463534380604501,-0.00221649973757554,"Level2"
"11019",3,0.307187563265221,0.00191802376183898,0.687116703537318,0.00377770943562266,-0.0104743658581761,"Level2"
"11020",3,0.198484977055198,0.000268010475860497,0.799911125998753,0.00133588647018848,0.00126659540389795,"Level2"
"11021",3,0.140011327961621,0.000115910557873147,0.858965925939975,0.000906835540530893,-0.00194928914475412,"Level2"
"11022",3,0.242594121545316,0.000543982069571539,0.754540569198036,0.00232132718707703,0.00970881412696034,"Level2"
"11023",3,0.221355066840977,0.000173762294868771,0.776841524096917,0.00162964676723664,0.00635660415729244,"Level2"
"11024",3,0.159934862133868,0.000116016142090809,0.838908067579604,0.0010410541444374,-0.00211438804054964,"Level2"
"11025",3,0.0959726984452677,9.89062631681686e-05,0.903331053313968,0.000597341977595861,0.000673238771796036,"Level2"
"11026",3,0.0869057752656591,0.000207599219558213,0.912244315251675,0.000642310263107834,0.00642101006798335,"Level2"
"11027",3,0.0522136099947815,0.000108306774648361,0.947350780721839,0.000327302508731151,-0.000382199509632031,"Level2"
"11028",3,0.0301080495056323,0.000109303866873972,0.969593471293569,0.00018917533392441,0.00210025852859808,"Level2"
"11029",3,0.0267656557916244,0.000158812315752592,0.972921607188728,0.000153924703894719,-0.00305635383041913,"Level2"
"11030",3,0.0199645549368881,0.000109397392248703,0.979831387384868,9.46602859953714e-05,0.00191128690594766,"Level2"
"11031",3,0.0406653724033848,0.000321081214126964,0.958829854416288,0.000183691966200065,0.00770373296043747,"Level2"
"11032",3,0.02323165389874,0.000107618083629699,0.97651601970237,0.000144708315260295,0.000378829219169319,"Level2"
"11033",3,0.0363968045392972,0.000242812195652062,0.963184785106358,0.000175598158692821,-0.0048416480855904,"Level2"
"11034",3,0.0365302593115187,0.00023149746312402,0.962971521965818,0.000266721259539035,-0.00467407732885494,"Level2"
"11035",3,0.0240949360685159,0.000137834984281231,0.975607479855987,0.000159749091215846,0.00419810759199279,"Level2"
