"state","S1","S2","S3","returns","date"
"LowVol",0.990105072340829,0.00980312828853106,9.17993706400785e-05,0.00243605479788123,1952-06-25
"LowVol",0.989460723131705,0.0104390921277517,0.000100184740542897,0.00364299127850121,1952-06-26
"LowVol",0.989729139605182,0.0101741638158677,9.6696578950579e-05,0.00322711050537583,1952-06-27
"LowVol",0.987916420731638,0.0119629899157577,0.000120589352604642,0.00522190391704846,1952-06-30
"LowVol",0.986093195851077,0.0137611623636296,0.000145641785292998,0.00638987797179036,1952-07-01
"LowVol",0.98898171859301,0.010914598739065,0.000103682667925228,-0.00239147184522226,1952-07-02
"LowVol",0.990170314159617,0.00973969505911909,8.99907812637866e-05,-0.000399121952978643,1952-07-03
"LowVol",0.98813435359338,0.0117517595231317,0.000113886883487901,-0.0031987233670896,1952-07-07
"LowVol",0.990169851347731,0.00974015283462533,8.9995817643559e-05,-0.000400560806499861,1952-07-08
"LowVol",0.987002482852606,0.0128696027030398,0.000127914444354071,-0.0040143771292982,1952-07-09
"LowVol",0.98929868270667,0.0106013747208733,9.99425724563015e-05,-0.00201336891044468,1952-07-10
"LowVol",0.985212308213804,0.0146295680400215,0.00015812374617402,0.00682874730005079,1952-07-11
"LowVol",0.990242205356133,0.00966781367662102,8.99809672456236e-05,0.00199964069830783,1952-07-14
"LowVol",0.987969360735886,0.011910761350854,0.000119877913259512,0.00518028643650048,1952-07-15
"LowVol",0.990278673565369,0.00963249233914026,8.88340954904643e-05,0,1952-07-16
"LowVol",0.986385981459323,0.0134782922840973,0.000135726256579522,-0.00438164422152676,1952-07-17
"LowVol",0.974330052356103,0.0253624964123878,0.000307451231509368,-0.00801603506807558,1952-07-18
"LowVol",0.985276127012694,0.0146203683714443,0.000103504615861482,0.00401610973504951,1952-07-21
"LowVol",0.990241602327664,0.00966840859414608,8.99890781904113e-05,0.00200196259051344,1952-07-22
"LowVol",0.988841644747548,0.0110500727541688,0.000108282498283087,0.00439038812606318,1952-07-23
"LowVol",0.987990096114495,0.0118903043816847,0.000119599503820308,0.00516382467874843,1952-07-24
"LowVol",0.988163337426579,0.0117231291910032,0.000113533382417712,-0.00317460584077223,1952-07-25
"LowVol",0.990328086836499,0.0095831127421539,8.88004213467053e-05,0.00158860236767655,1952-07-28
"LowVol",0.990126075615949,0.00978240116041678,9.15232236340794e-05,0.00237808272242868,1952-07-29
"LowVol",0.988884341120949,0.0110079380444759,0.000107720834575128,0.00434529610547818,1952-07-30
"LowVol",0.990372837298263,0.00953904217870425,8.81205230324632e-05,0.00118176099666734,1952-07-31
"LowVol",0.990250639628675,0.00965949301696033,8.98673543650595e-05,0.00196660826477135,1952-08-01
"LowVol",0.990026648199746,0.00988177501759696,9.15767826566993e-05,-0.000786202855233675,1952-08-04
"LowVol",0.990373007269709,0.00953887521789227,8.81175123984861e-05,0.0011789744179338,1952-08-05
"LowVol",0.990026828076341,0.00988159714944028,9.15747742188168e-05,-0.000785776071865474,1952-08-06
"LowVol",0.989779145756285,0.0101248071009162,9.60471427989125e-05,0.00313968069649251,1952-08-07
"LowVol",0.990373257295357,0.00953862964040512,8.81130642381621e-05,0.00117481903418026,1952-08-08
"LowVol",0.98984256277888,0.0100637844955527,9.36527255675616e-05,-0.00117481903418026,1952-08-11
"LowVol",0.972894152281684,0.026775927667916,0.000329920050399549,-0.00826292342963253,1952-08-12
"LowVol",0.985396436378244,0.0145102645594536,9.32990623025044e-05,-0.00118592621133873,1952-08-13
"LowVol",0.990278673565369,0.00963249233914026,8.88340954904643e-05,0,1952-08-14
"LowVol",0.988169353570582,0.0117171863852411,0.000113460044176481,-0.00316957463570144,1952-08-15
"LowVol",0.954391731769956,0.0449592348034994,0.000649033426544592,-0.010371053851796,1952-08-18
"LowVol",0.974015105281101,0.0258478776705862,0.000137017048312546,-0.00200690414539828,1952-08-19
"LowVol",0.986293341143738,0.0136153493337844,9.13095224778449e-05,0.00240778607496495,1952-08-20
"LowVol",0.990371570879375,0.00954028647156577,8.81426490592507e-05,0.00120164241974452,1952-08-21
"LowVol",0.990348054763229,0.00956380090221092,8.81443345605187e-05,0.000400240149429187,1952-08-22
"LowVol",0.98556299766139,0.014290672714854,0.00014632962375573,-0.00481344682246121,1952-08-25
"LowVol",0.98958661137417,0.0103167993477219,9.65892781080678e-05,-0.00160969850432435,1952-08-26
"LowVol",0.988812844666618,0.0110784936802621,0.000108661653119991,0.00442038082804519,1952-08-27
"LowVol",0.990371541688308,0.00954031515844961,8.81431532425369e-05,0.00120208389550314,1952-08-28
"LowVol",0.990118207437702,0.00979016582132664,9.16267409716225e-05,0.00240008115211587,1952-08-29
"LowVol",0.988438749399481,0.0114476416061103,0.000113608994409023,0.00478275115000848,1952-09-02
"LowVol",0.989213897056255,0.0106827006978596,0.000103402245885047,0.00396825917562094,1952-09-03
"LowVol",0.990171278684686,0.00973874102819715,8.99802871170768e-05,-0.000396118048356708,1952-09-04
"LowVol",0.989834886382474,0.010071373567363,9.37400501633014e-05,-0.00118933613998351,1952-09-05
"LowVol",0.98706516957078,0.0128077037616689,0.000127126667551446,-0.00397448853876492,1952-09-08
"LowVol",0.958606937454565,0.0408211133413057,0.000571949204129669,-0.0100060866864382,1952-09-09
"LowVol",0.955905198936806,0.0438244350398082,0.000270366023385589,-0.00686178244851066,1952-09-10
"LowVol",0.977212810909042,0.022700203068961,8.6986021997067e-05,0.00121424827709982,1952-09-11
"LowVol",0.988034346874948,0.0118758370977277,8.98160273238973e-05,-0.000404612605342525,1952-09-12
"LowVol",0.951758566288723,0.0475430707224441,0.000698362988832479,-0.0105777227103965,1952-09-15
"LowVol",0.973504767463471,0.0263517962509981,0.000143436285530365,0.00326664221613004,1952-09-16
"LowVol",0.986189176021671,0.0137210813168943,8.97426614345693e-05,0.00203620510108316,1952-09-17
"LowVol",0.988528649359869,0.0113622465091052,0.000109104131025723,-0.0028519065978676,1952-09-18
"LowVol",0.990101758429277,0.0098063986802906,9.18428904321896e-05,0.00244498899306667,1952-09-19
