Date,Close,Dividends,Regime,Bench_Returns,Bench_Cumprod,Asset_Count,Asset_Value,Balance,Account_Value,Performance_Returns,Performance_Cumprod
1992-05-12,416.29,0,LowVol,0.9947430046118187,1.018371740300406,243.0,101158.47,19.720000000012078,101178.19000000002,0.9947440238341706,1.0117819000000008
1992-05-13,416.45,0,LowVol,1.0003843474500949,1.0187631488820392,243.0,101197.34999999999,19.720000000012078,101217.07,1.0003842725393683,1.0121707000000006
1992-05-14,413.14,0,LowVol,0.9920518669708248,1.0106658838495033,243.0,100393.01999999999,19.720000000012078,100412.74,0.9920534154960226,1.0041274000000007
1992-05-15,410.09,0,LowVol,0.9926175146439463,1.0032046577621212,243.0,99651.87,19.720000000012078,99671.59000000001,0.9926189644859806,0.9967159000000008
1992-05-18,412.81,0,LowVol,1.0066326903850376,1.009858603649885,243.0,100312.83,19.720000000012078,100332.55000000002,1.0066313781088474,1.003325500000001
1992-05-19,416.37,0,LowVol,1.008623822097333,1.0185674445912225,243.0,101177.91,19.720000000012078,101197.63000000002,1.0086221271162747,1.0119763000000008
1992-05-20,415.39,0,LowVol,0.9976463241828182,1.0161700670287195,243.0,100939.76999999999,19.720000000012078,100959.49,0.9976467828347362,1.0095949000000006
1992-05-21,412.6,0,LowVol,0.993283420400106,1.0093448798864915,243.0,100261.8,19.720000000012078,100281.52000000002,0.9932847323218452,1.0028152000000008
1992-05-22,414.02,0,LowVol,1.0034415899175957,1.0128186310484857,243.0,100606.86,19.720000000012078,100626.58000000002,1.0034409131413244,1.0062658000000007
1992-05-26,411.41,0,LowVol,0.9936959567170669,1.006433778560595,243.0,99972.63,19.720000000012078,99992.35000000002,0.9936971921335298,0.9999235000000007
1992-05-27,412.17,0,LowVol,1.0018473056075448,1.0082929693233524,243.0,100157.31,19.720000000012078,100177.03000000001,1.0018469412910087,1.0017703000000007
1992-05-28,416.74,0,LowVol,1.011087658005192,1.0194725769362494,243.0,101267.82,19.720000000012078,101287.54000000002,1.0110854753829297,1.0128754000000009
1992-05-29,415.35,0,LowVol,0.9966645870326822,1.0160722148833115,243.0,100930.05,19.720000000012078,100949.77000000002,0.9966652364150614,1.0094977000000007
1992-06-01,417.3,0,LowVol,1.0046948356807512,1.0208425069719655,243.0,101403.90000000001,19.720000000012078,101423.62000000002,1.0046939185696016,1.0142362000000007
1992-06-02,413.5,0,LowVol,0.990893841361131,1.0115465531581782,243.0,100480.5,19.720000000012078,100500.22000000002,0.9908956118900113,1.0050022000000005
1992-06-03,414.59,0,LowVol,1.0026360338573155,1.014213024120554,243.0,100745.37,19.720000000012078,100765.09000000001,1.0026355166187695,1.0076509000000005
1992-06-04,413.26,0,LowVol,0.9967920113847416,1.0109594402857285,243.0,100422.18,19.720000000012078,100441.90000000001,0.9967926391967694,1.0044190000000004
1992-06-05,413.48,0,LowVol,1.0005323525141558,1.011497627085474,243.0,100475.64,19.720000000012078,100495.36000000002,1.0005322479961052,1.0049536000000003
1992-06-08,413.36,0,LowVol,0.9997097804005031,1.0112040706492493,243.0,100446.48000000001,19.720000000012078,100466.20000000003,0.9997098373497046,1.0046620000000004
