,0,1,2,3,4,5,6
288,0.8,0.8,0.0,0.0,0.5,1.612311299999988,0.06143177879692544
480,1.0,0.8,0.0,0.0,0.5,1.6179769999999964,0.06010548751054181
96,0.5,0.8,0.0,0.0,0.5,1.5933004000000108,0.05853879842714494
435,1.0,0.4,0.0,0.4,0.5,1.9019746999999967,0.04817189746333764
289,0.8,0.8,0.0,0.0,0.8,1.5869008000000004,0.04487852989842581
481,1.0,0.8,0.0,0.0,0.8,1.5907263999999792,0.04304777045703364
243,0.8,0.4,0.0,0.4,0.5,1.8797600000000065,0.04253992635790873
97,0.5,0.8,0.0,0.0,0.8,1.5579155999999892,0.03990465350188362
290,0.8,0.8,0.0,0.0,1.0,1.5731685999999923,0.038081588257983946
482,1.0,0.8,0.0,0.0,1.0,1.5810081000000002,0.036673137195828806
51,0.5,0.4,0.0,0.4,0.5,1.855562099999996,0.03521043247513489
98,0.5,0.8,0.0,0.0,1.0,1.548126199999999,0.03434314445389362
436,1.0,0.4,0.0,0.4,0.8,1.8534098000000132,0.02743502509905739
244,0.8,0.4,0.0,0.4,0.8,1.8464642999999974,0.025255814969237705
336,0.8,1.0,0.0,0.0,0.5,1.4519679000000012,0.02487608294720369
144,0.5,1.0,0.0,0.0,0.5,1.4299300999999962,0.0237092447292665
437,1.0,0.4,0.0,0.4,1.0,1.8484591999999953,0.02234091066160125
245,0.8,0.4,0.0,0.4,1.0,1.8427679000000088,0.02102908882840715
204,0.8,0.0,0.4,0.0,0.5,2.272453700000001,0.019736079190321686
396,1.0,0.0,0.4,0.0,0.5,2.2704698999999953,0.01872413235711527
528,1.0,1.0,0.0,0.0,0.5,1.4471542000000046,0.01808437728237744
52,0.5,0.4,0.0,0.4,0.8,1.816571600000002,0.017303227479069233
397,1.0,0.0,0.4,0.0,0.8,2.259445799999978,0.01619614679456613
206,0.8,0.0,0.4,0.0,1.0,2.252451200000007,0.016101170988122485
398,1.0,0.0,0.4,0.0,1.0,2.2524355000000065,0.01602039876152942
12,0.5,0.0,0.4,0.0,0.5,2.2552538000000104,0.015620242683635063
53,0.5,0.4,0.0,0.4,1.0,1.8103781999999995,0.013803370260342921
205,0.8,0.0,0.4,0.0,0.8,2.248227700000008,0.013471322246971862
14,0.5,0.0,0.4,0.0,1.0,2.2385718999999873,0.012136228462546453
337,0.8,1.0,0.0,0.0,0.8,1.4264913000000004,0.009132381393311424
13,0.5,0.0,0.4,0.0,0.8,2.2287885000000176,0.008248777538082806
145,0.5,1.0,0.0,0.0,0.8,1.405974299999994,0.007945899410616514
529,1.0,1.0,0.0,0.0,0.8,1.4239752999999884,0.003484966051057788
338,0.8,1.0,0.0,0.0,1.0,1.4180550999999915,0.0004645022233634979
146,0.5,1.0,0.0,0.0,1.0,1.3970214999999981,-0.0004956409513019736
530,1.0,1.0,0.0,0.0,1.0,1.4169266,-0.004958413630291514
198,0.8,0.0,0.0,0.8,0.5,2.110315199999998,-0.006423380093708455
